线路,站名,坐标,全地名,总时间,时间1,距离1,行走距离1,费用1,夜班1,时间2,距离2,行走距离2,费用2,夜班2
广佛线,澜石,"113.283451,23.211301",广东省广州市白云区地铁站,7746,4708,30945,722,8.0,0,3038,20791,1372,5.0,0
二号线,白云公园,"113.269833,23.180739",广东省广州市白云区白云公园地铁站,7795,4573,27602,1001,7.0,0,3222,17052,1651,5.0,0
广佛线,鹤洞,"113.240153,23.072495",广东省广州市荔湾区鹤洞地铁站,7836,4732,26870,2608,6.0,0,3104,18089,1372,5.0,0
广佛线,龙溪,"113.192391,23.066029",广东省广州市荔湾区龙溪地铁站,7844,4342,27172,721,7.0,0,3502,21205,308,7.0,0
十三号线,双岗,"113.475788,23.093990",广东省广州市黄埔区双岗地铁站,7844,4740,29117,2671,7.0,0,3104,17793,562,7.0,0
三号线(北延段),机场北（2号航站楼）,"113.270261,23.082640",广东省广州市海珠区地铁昌岗站,7885,4757,22675,3262,6.0,0,3128,13894,2026,4.0,0
六号线,龙洞,"113.377520,23.190960",广东省广州市天河区龙洞地铁站,7888,5219,30254,2608,7.0,0,2669,11823,1485,4.0,0
五号线,中山八,"113.232727,23.126046",广东省广州市荔湾区中山八地铁站,7956,5065,31085,2608,7.0,0,2891,13627,481,6.0,0
一号线,西朗,"113.231978,23.065437",广东省广州市荔湾区西朗地铁站,7968,4864,28272,2608,6.0,0,3104,18739,1372,5.0,0
广佛线,西朗,"113.231978,23.065437",广东省广州市荔湾区西朗地铁站,7968,4864,28272,2608,6.0,0,3104,18739,1372,5.0,0
四号线,东涌,"113.478928,22.885635",广东省广州市南沙区东涌地铁站,8013,4069,36070,203,9.0,0,3944,36689,1764,8.0,0
六号线,河沙,"113.217405,23.135576",广东省广州市荔湾区河沙地铁站,8057,4637,26066,725,7.0,0,3420,17414,1372,5.0,0
二号线,萧岗,"113.280411,23.199008",广东省广州市白云区萧岗地铁站,8062,4732,29787,906,8.0,0,3330,22317,1556,5.0,0
六号线,柯木塱,"113.395991,23.193462",广东省广州市天河区柯木塱地铁站,8206,5378,32013,2608,7.0,0,2828,13582,1485,4.0,0
六号线,文化公园,"113.248985,23.109271",广东省广州市荔湾区文化公园地铁站,8221,5189,27756,2523,6.0,0,3032,12510,1515,4.0,0
四号线,庆盛,"113.490456,22.866999",广东省广州市南沙区庆盛地铁站,8297,4211,38552,183,10.0,0,4086,39171,1744,8.0,0
五号线,坦尾,"113.218387,23.125234",广东省广州市荔湾区坦尾地铁站,8319,5217,32562,2608,7.0,0,3102,15184,437,6.0,0
六号线,坦尾,"113.218387,23.125234",广东省广州市荔湾区坦尾地铁站,8319,5217,32562,2608,7.0,0,3102,15184,437,6.0,0
十三号线,南海神庙,"113.497526,23.083857",广东省广州市黄埔区南海神庙,8348,4992,32133,2715,7.0,0,3356,20809,606,7.0,0
五号线,大沙东,"113.208347,23.113744",广东省广州市荔湾区大沙东地铁站,8384,5105,32376,850,7.0,0,3279,17040,546,6.0,0
一号线,芳村,"113.235252,23.096547",广东省广州市荔湾区芳村地铁站,8500,5288,28556,724,6.0,0,3212,15452,1948,5.0,0
十三号线,夏园,"113.518977,23.083038",广东省广州市黄埔区夏园地铁站,8580,5108,34132,2665,7.0,0,3472,22808,556,8.0,0
三号线(北延段),白云大道北,"113.293678,23.225884",广东省广州市白云区白云大道北地铁站,8701,5544,33147,3440,7.0,0,3157,16705,1063,6.0,0
五号线,滘口,"113.208500,23.114207",广东省广州市荔湾区滘口地铁站,8724,5449,34494,2669,7.0,0,3275,17036,542,6.0,0
五号线,科韵路,"113.208384,23.113801",广东省广州市荔湾区科韵路地铁站,8732,5453,34498,2673,7.0,0,3279,17040,546,6.0,0
四号线,黄阁汽车城,"113.509719,22.835812",广东省广州市南沙区黄阁汽车城地铁站,8781,4453,42750,183,10.0,0,4328,43369,1744,9.0,0
四号线,塘坑,"113.230689,23.064640",广东省广州市荔湾区地铁站,8830,5295,28775,3111,6.0,0,3535,19242,1875,5.0,0
六号线,黄陂,"113.433738,23.188379",广东省广州市黄埔区黄陂地铁站,8871,5711,35741,2608,8.0,0,3160,17310,1485,5.0,0
六号线,金峰,"113.451182,23.181468",广东省广州市黄埔区金峰地铁站,9231,5891,37810,2608,8.0,0,3340,19379,1485,5.0,0
六号线,沙贝,"113.211397,23.152430",广东省广州市白云区沙贝地铁站,9373,5765,34803,2380,7.0,0,3608,19557,1372,5.0,0
四号线,蕉门,"113.527534,22.800590",广东省广州市南沙区蕉门地铁站,9375,4784,47483,210,11.0,0,4591,50181,287,11.0,0
六号线,横沙,"113.206791,23.158187",广东省广州市白云区横沙地铁站,9575,5866,35689,2380,7.0,0,3709,20443,1372,6.0,0
五号线,西村,"113.234600,23.147956",广东省广州市白云区西村地铁站,9742,5927,30153,3902,7.0,0,3815,12778,1734,5.0,0
四号线,金洲,"113.538551,22.792211",广东省广州市南沙区金洲地铁站,9757,4975,49440,280,11.0,0,4782,52138,357,12.0,0
六号线,浔峰岗,"113.201941,23.164110",广东省广州市白云区浔峰岗地铁站,9783,5970,36611,2380,7.0,0,3813,21365,1372,6.0,0
